Prophenoloxidase-activating_enzyme_2	PO-related	Znev_18221
TEP1	Thioester-containing_protein_	Znev_02879
TEP2	Thioester-containing_protein_	Znev_18586
TEP3	Thioester-containing_protein_	Znev_13964
TEP4	Thioester-containing_protein_	Znev_05513
Dual_oxidase/heme_peroxidase	Peroxidase	Znev_17480
Dual_oxidase/heme_peroxidase	Peroxidase	Znev_00592
Peroxidasin/Chorion_peroxidase	Peroxidase	Znev_16904
Peroxidasin/Chorion_peroxidase	Peroxidase	Znev_01987
Peroxidasin/Chorion_peroxidase	Peroxidase	Znev_16752
Peroxidasin/Chorion_peroxidase	Peroxidase	Znev_09888
Peroxidasin/Chorion_peroxidase	Peroxidase	Znev_02993
Peroxidasin/Chorion_peroxidase	Peroxidase	Znev_16996
Peroxidase	Peroxidase	Znev_03574
Peroxidase	Peroxidase	Znev_03575
ATG2_(Autophagy-related_protein_2)	Autophagy	Znev_14004
ATG2	Autophagy	Znev_11462
ATG3	Autophagy	Znev_06264
ATG4B	Autophagy	Znev_05555
ATG4D	Autophagy	Znev_10705
ATG5	Autophagy	Znev_12390
ATG6_(Beclin)	Autophagy	Znev_07723
ATG6_(Beclin)	Autophagy	Znev_17966
ATG7	Autophagy	Znev_17566
ATG7	Autophagy	Znev_04460
ATG8_(Gabarap)	Autophagy	Znev_13859
ATG9	Autophagy	Znev_01174
ATG10	Autophagy	Znev_06925
ATG12	Autophagy	Znev_07412
ATG16L1	Autophagy	Znev_10009
ATG16L1	Autophagy	Znev_10012
RB1-inducible_coiled-coil_	Autophagy	Znev_02531
ULK2_(unc-51-like_kinase_2)_	Autophagy	Znev_10659
ULK3	Autophagy	Znev_04866
Wipi1_(WD_repeat_domain_phosphoinositide-_interacting_protein_1)	Autophagy	Znev_09191
Wipi3	Autophagy	Znev_13104
Wipi4	Autophagy	Znev_10905
WD_repeat-containing_protein_65	Autophagy	Znev_02990
APAF-1_(apoptotic_protease_activating_factor_1)	Apoptosis	Znev_00248
APAF-2	Apoptosis	Znev_00246
BAX_(Apoptosis_inhibitor)	Apoptosis	Znev_15412
Ice_(effector_caspase-1)	Apoptosis	Znev_13497
Effector_caspase	Apoptosis	Znev_14304
Effector_caspase	Apoptosis	Znev_17676
Effector_caspase	Apoptosis	Znev_18362
Effector_caspase	Apoptosis	Znev_08436
DREDD/Nedd2	Apoptosis	Znev_13406
DCN1-like_protein	Apoptosis	Znev_00522
Fas_(TNFRSF6)-associated_via_death_domain	Apoptosis	Znev_06474
Ankyrin_repeat_and_death_domain-_containing_protein	Apoptosis	Znev_09041
Galectin	Lectin	Znev_07311
Galectin	Lectin	Znev_04392
CTL	C-Lectin	Znev_00043
CTL	C-Lectin	Znev_01827
CTL	C-Lectin	Znev_05559
CTL	C-Lectin	Znev_16861
CTL	C-Lectin	Znev_05556
CTL	C-Lectin	Znev_00446
CTL_(Macrophage_mannose_receptor_1)	C-Lectin	Znev_14909
CTL_(sushi,_von_Willebrand_factor_type_A,_EGF_and_pentraxin_domain-_containing_protein)	C-Lectin	Znev_08675
CTL_(sushi,_von_Willebrand_factor_type_A,_EGF_and_pentraxin_domain-_containing_protein)	C-Lectin	Znev_03178
NPC2-like	ML_superfamily_(MD-2-related_lipid-recognition)	Znev_00122
MPA2_allergen	ML_superfamily	Znev_11387
MPA2_allergen	ML_superfamily	Znev_11388
MDL1	ML_superfamily	Znev_17997
MDL2	ML_superfamily	Znev_11389
SCARA_(Scavenger_receptor_class_A-like)	Scavenger_Receptor_A	Znev_09392
SCARA	Scavenger_Receptor_A	Znev_09907
SCARA	Scavenger_Receptor_A	Znev_03412
SCARA	Scavenger_Receptor_A	Znev_12289
SRCR_(scavenger_receptor_class_A-like,_cysteine-rich)	Scavenger_Receptor_A	Znev_12950
SRCR	Scavenger_Receptor_A	Znev_12911
SCARB_(scavenger_receptor_class_B),_croquemort_type	Scavenger_Receptor_B	Znev_01894
SCARB,croquemort_type	Scavenger_Receptor_B	Znev_01929
SCARB,croquemort_type	Scavenger_Receptor_B	Znev_17151
SCARB	Scavenger_Receptor_B	Znev_09663
SCARB	Scavenger_Receptor_B	Znev_09665
SCARB	Scavenger_Receptor_B	Znev_09668
SCARB	Scavenger_Receptor_B	Znev_17970
SCARB	Scavenger_Receptor_B	Znev_05148
SCARB	Scavenger_Receptor_B	Znev_14227
SCARB	Scavenger_Receptor_B	Znev_05147
LDL_receptor	LDL	Znev_11465
LDL_receptor	LDL	Znev_11466
LDL_receptor	LDL	Znev_11467
T-cell_immunomodulatory_protein	NA	Znev_04939
IG-binding_protein	TOR_pathway	Znev_11186
IG-domain_containing	IG_superfamily	Znev_15173
Serine_protease_inhibitor	Serpin	Znev_11231
Serine_protease_inhibitor	Serpin	Znev_03219
Serine_protease_inhibitor	Serpin	Znev_11099
Serine_protease_inhibitor	Serpin	Znev_01881
Serine_protease_inhibitor	Serpin	Znev_11098
Serine_protease_inhibitor	Serpin	Znev_11095
Serine_protease_inhibitor	Serpin	Znev_07264
Serine_protease_inhibitor	Serpin	Znev_02826
Serine_protease_inhibitor	Serpin	Znev_06875
Serine_protease_inhibitor	Serpin	Znev_11096
Serine_protease_inhibitor	Serpin	Znev_10043
Serine_protease_inhibitor	Serpin	Znev_02802
Serine_protease_inhibitor	Serpin	Znev_05728
Leukocyte_elastase_inhibitor	Serpin	Znev_06230
cSP_(serine_proteasestubble)	cSP	Znev_16873
cSP_(serine_proteasestubble)	cSP	Znev_17166
cSP_(serine_proteasestubble)	cSP	Znev_12938
cSP_(serine_proteasestubble)	cSP	Znev_07739
cSP_(serine_proteasestubble)	cSP	Znev_05138
cSP_(serine_proteasestubble)	cSP	Znev_03586
cSP_(serine_proteasestubble)	cSP	Znev_03587
cSP_(serine_proteasestubble)	cSP	Znev_03593
cSP_(serine_proteasestubble)	cSP	Znev_06101
cSP_(serine_proteasestubble)	cSP	Znev_09866
cSP_(serine_proteasestubble)	cSP	Znev_12298
cSP_(serine_proteasestubble)	cSP	Znev_05193
Superoxide_dismutase	SOD	Znev_15634
Superoxide_dismutase	SOD	Znev_12756
Superoxide_dismutase	SOD	Znev_11634
